Bins/Samples	ALI301	ALI302	ALI303	ALI304	ALI305	ALI306	ALI307	ALI309	ALI310	ALI311	ALI312	ALI316	ASL1	ASL10	ASL11	ASL12	ASL2	ASL3	ASL4	ASL5	ASL6	ASL7	ASL8	ASL9	BB501	BB502	BB503	BB504	BB505	BB506	BB507	BB508	BB509	BB510	BB511	BB512	BBMa1901	BBMa1902	BBMa1903	BBMa1904	BBMa1905	BBMa1906	BBMa1907	BBMa1908	BBMa1909	BBMa1910	BBMa1911	BBMa1912	BBMb2001	BBMb2002	BBMb2003	BBMb2004	BBMb2005	BBMb2006	BBMb2007	BBMb2008	BBMb2009	BBMb2010	BBMb2011	BBMb2012	JN101	JN102	JN103	JN104	JN105	JN106	JN107	JN108	JN109	JN110	JN111	JN112	JS201	JS202	JS203	JS204	JS205	JS206	JS207	JS208	JS209	JS210	JS211	JS212	MA801	MA802	MA803	MA804	MA805	MA806	MA807	MA808	MA809	MA810	MA811	MA812	NC1103	NC1104	NC1105	NC1106	NC1107	NC1108	NC1109	NC1111	NC1112	NC1113	NC1114	NC1115	QU701	QU702	QU703	QU704	QU705	QU706	QU707	QU708	QU709	QU710	QU711	QU712	SD601	SD602	SD603	SD604	SD605	SD606	SD607	SD608	SD609	SD610	SD611	SD612	WAS401	WAS402	WAS403	WAS404	WAS405	WAS406	WAS407	WAS408	WAS409	WAS410	WAS411	WAS412	ZM1201	ZM1202	ZM1203	ZM1204	ZM1205	ZM1206	ZM1207	ZM1208	ZM1209	ZM1210	ZM1211	ZM1212	ZM1401	ZM1402	ZM1403	ZM1404	ZM1405	ZM1406	ZM1407	ZM1408	ZM1409	ZM1410	ZM1411	ZM1412	ZM1501	ZM1502	ZM1503	ZM1504	ZM1505	ZM1506	ZM1507	ZM1508	ZM1509	ZM1510	ZM1511	ZM1512	ZM1602	ZM1603	ZM1604	ZM1605	ZM1606	ZM1607	ZM1608	ZM1609	ZM1610	ZM1611	ZM1612	ZM1701	ZM1702	ZM1703	ZM1704	ZM1705	ZM1706	ZM1707	ZM1708	ZM1709	ZM1710	ZM1711	ZM1712	ZM1801	ZM1802	ZM1803	ZM1804	ZM1805	ZM1806	ZM1807	ZM1808	ZM1809	ZM1810	ZM1811
SGJGI_metabat_2500_1_0_169	38	3	11	2	1043	74	742	1066	859	197	40	2	312	16154	23060	10718	8544	108853	81277	83967	2152	7766	42770	5207	37	202	69	55	9	42	62	30	1	78	51	6	18	104	125	60	12	35	10	14	41	17	31	36	53	128	57	54	17	0	173	10	26	119	18	48	4	4	4	3	12	2	8	3	0	2	14	1	4	20	11	40	126	7	26	42	11	8	7	188	7	5	31	0	12	0	13	2	0	17	24	0	6	13	8	14	22	10	38	37	85	3	16	82	2	65	240	187	308	4	43	250	79	3	318	61	652	267	69	125	991	3710	89	1696	37	893	730	113	618	28	48	21	26	18	5	55	51	6	81	50	4	6	1	0	3	4	3	12	4	2	167	58	10	4	14	8	6	6	37	9	22	32	72	89	29	684	1167	1948	957	22	1588	748	1050	178	43	1881	5	37	27	29	11	52	44	19	51	3	140	0	14	13	3	1	12	0	3	12	1	3	0	65	36	3	46	11	1	50	7	8	24	11
concoct_60_sub	1146	63	545	352	135	190	2716	4943	713	281	385	4970	21	803	1359	1659	202	2646	1708	3687	440	545	1498	893	1	19	2	3	2	0	0	4	0	0	0	0	4	40	75	23	9	62	7	5	3	5	39	51	9	31	2	22	2	2	107	0	2	24	1	79	2	0	0	0	2	0	3	0	5	3	0	0	31	14	14	23	10	25	11	50	2	6	5	9	5	0	0	2	17	2	2	6	0	12	6	0	23	11	2	19	19	10	9	34	12	6	5	9	28	15366	20652	800	14593	107	20398	12490	32880	57	9809	18834	23	10	3	6	13	34	4	11	49	15	43	96	60	11	16	8	6	17	12	16	11	2	15	8	16	31	13	10	46	23	37	18	19	35	227	91	26	79	36	15	7	15	72	615	17	271	25	32	782	716	1089	183	138	501	416	1023	244	279	52	82	13	24	6	16	3	12	14	19	6	0	7	4	95	63	5	9	109	13	13	83	20	6	1	109	247	87	363	117	15	83	63	153	251	75
MaxBin_allsamples_1_7_263_sub	0	0	0	0	13	0	12	14	7	6	0	5	0	37	61	20	15	114	100	82	10	36	131	25	0	4	1	2	0	0	0	5	0	1	0	0	33	228	977	556	38	149	20	106	75	84	76	227	302	593	138	256	59	18	476	43	90	656	25	411	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	5	7	0	1	24	0	0	2	9	6	0	5	0	141	0	6	19	4	17	12	3	3180	708	394	1679	1984	1019	1046	3683	1910	386	282	2994	0	30	97	12	59	0	18	19	31	0	44	38	791	69	61	139	759	424	181	156	90	342	417	129	3	0	0	0	1	1	0	1	1	0	0	0	162	141	309	176	509	499	89	27	187	139	914	960	2551	2100	1396	1209	277	3326	3204	16787	5725	47882	4813	82261	49	18	14	10	19	9	41	7	16	12	5	4	642	380	72	413	72	2374	1091	474	1224	14	2501	126	442	760	35	110	421	95	254	621	114	106	24	16774	2750	4934	8604	3774	931	17882	18636	3777	17551	9351
SGJGI_metabat_2500_1_0_153	2	0	3	0	1	2	14	9	7	5	0	3	0	1	2	7	2	6	7	8	4	2	4	1	0	3	2	4	0	0	2	2	0	0	3	0	0	3	7	3	0	5	0	2	2	0	12	2	1	3	1	1	0	0	5	0	1	11	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	7	0	0	4	5	0	0	0	1	0	19	40	2	19	0	25	19	52	0	25	31	21	14	5	4	22	27	5	12	3	10	4	1	0	1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	3	1	0	6	10	2	0	3	0	28	3	41	4	8	60810	41096	47177	8571	8329	15960	18677	48303	24566	19965	580	2562	46	1	0	3	1	28	0	2	1	0	14	0	8	23	0	0	14	0	3	19	0	1	0	17	13	6	8	6	0	16	9	8	14	12
MaxBin_allsamples_1_7_055	1841	83	1850	1374	483	95	1265	1467	954	174	140	6238	21	703	3095	1228	1555	3993	2778	5362	740	1313	1844	2230	6	113	7	36	5	6	2	19	0	9	0	0	13	1155	1983	83	80	359	78	44	44	88	147	107	69	26	108	240	38	26	1393	13	36	283	12	205	31	4	7	5	0	2	11	6	6	5	3	4	7	4	2	5	4	4	2	3	10	0	0	6	61	40	31	16	340	24	29	151	23	354	214	27	3115	194	117	106	277	149	65	383	172	44	22	32	32	27651	24858	705	33279	75	30794	26304	47064	42	25773	37389	27	10	2	0	18	13	3	21	34	24	19	28	1106	63	142	167	35	61	365	376	174	37	81	29	293	339	194	159	580	243	293	158	454	221	4105	2205	5565	4379	2204	415	692	562	703	34769	631	25472	4770	4429	1565	3103	956	8024	1364	1064	1320	1761	831	645	68	1115	38	83	146	14	53	69	24	53	16	2	30	10	68	115	0	1	46	56	41	108	22	25	7	6	23	8	5	5	1	9	6	6	7	14
SGJGI_metabat_2500_1_0_182	0	0	0	0	1	0	0	0	5	0	0	1	70	302	367	1086	262	14640	13911	31028	7863	4685	8400	777	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	1	1	0	0	0	0	3	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	1	1	7	2	5	0	0	3	2	0	0	3	1	0	0	0	0	4	0	4	0	0	1	0	0	0	0	0	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	15	3	15	1	10	3	5	9	1	13	16	5	0	0	0	0	0	0	1	0	0	0	0	0	2	5	0	2	5	1	1	0	4	0	0	4	0	0	1	0	0	0	2	1	2	0
MaxBin_allsamples_1_7_105_sub	239	205	752	204	4708	558	1050	1717	1003	195	376	862	312	4444	46928	20305	3426	32407	29348	68998	3895	10002	30326	12044	42	426	81	95	33	45	124	73	35	94	58	38	76	1120	1183	690	366	879	142	209	107	216	171	375	183	310	496	227	110	105	613	46	151	848	65	916	72	42	19	30	19	19	125	30	38	37	22	21	101	34	23	60	307	41	46	223	26	31	18	176	64	28	55	26	106	35	19	57	38	133	72	36	1344	553	228	2583	847	1072	591	2567	2727	325	335	2873	72	595	1516	441	1400	62	506	437	586	49	525	547	1079	620	322	529	868	1744	346	1097	392	1163	1240	335	552	130	74	45	52	24	121	121	66	25	55	36	168	112	123	90	140	109	163	90	164	134	213	316	136	131	377	98	121	143	86	150	178	215	104	454	388	483	475	265	288	254	802	775	316	469	128	423	651	863	237	887	257	1723	822	763	677	116	1232	147	225	179	115	109	187	142	139	132	172	133	131	1064	446	980	1039	394	108	436	166	192	382	354
MaxBin_allsamples_1_7_256_sub	0	0	0	0	3	0	1	6	6	2	0	0	0	68	2	27	3	449	18	84	3	4	13	2	0	4	3	3	0	0	0	0	0	2	1	0	0	2	3	5	0	1	0	0	2	0	2	0	0	2	1	1	2	1	2	0	0	4	2	6	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	2	7	18	2	0	0	0	0	5	0	0	0	0	10	0	0	0	0	6	0	0	1	3	0	0	3	2	2	4	1	0	4	2	51	7914	20583	2214	29015	138	4838	9109	15765	82	18302	13907	10	7	2	2	39	42	12	149	8	8	15	27	7	0	2	2	0	1	2	1	0	0	3	0	0	2	0	0	0	0	0	0	1	0	0	2	3	0	2	0	0	0	0	1	0	1	0	0	5	1	0	1	2	4	7	1	1	0	5	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	2	0	0	0	0	1	0	9	1	0	0	1	1	0	0	3	1	0
MaxBin_allsamples_1_7_239_sub	1	2	1	2	2	0	12	40	9	10	8	10	1	4	8	7	4	11	5	14	1	2	9	1	0	2	24	0	0	0	0	0	0	1	0	0	2	16	10	22	1	22	6	1	2	7	2	3	6	4	21	5	0	0	3	0	3	16	2	4	18	0	0	0	0	1	3	2	0	1	0	0	2	1	1	2	5	1	3	4	2	0	1	6	3	0	2	1	50	2	5	19	4	25	7	0	3	4	0	1	11	6	7	9	2	1	1	0	0	11	7	7	14	1	11	6	11	0	17	12	70	33	11	11	100	115	16	16	3	58	21	10	17	8	5	1	5	2	5	4	0	1	15	10	1	0	0	7	11	6	8	0	29	2	65	8	0	4	25	6	1	1	5	26	1	13	2	8	64	1146	2266	386	354	241	1887	304	9742	181	70027	851	11	29	240	62	19949	269	42	10	23	6	392	31	250	590	22	22	180	27	166	1252	145	20	9	61	133	18	158	117	4	9	66	57	43	20
concoct_64_sub	286	8	11	4812	6412	6008	5363	3468	6968	1480	1767	9	6	138	182	2000	639	5879	1079	9017	1398	1196	530	489	55	217	71	416	54	54	128	1180	42	428	264	8	114	197	726	241	25	177	92	30	59	55	88	377	117	510	467	168	49	22	243	100	95	236	101	185	126	11	4	7	7	2	23	4	2	9	0	5	18	34	52	48	552	11	20	716	27	20	10	111	9	1	0	6	43	2	4	7	6	76	7	6	1267	390	18	1810	534	460	2066	1796	6164	297	235	2473	20	1365	2351	759	2913	45	1187	829	1320	15	1061	3564	905	181	248	1451	2234	7511	387	7944	118	2565	1762	408	417	36	42	27	23	33	11	64	62	13	21	24	37	10	6	0	8	4	5	11	7	3	151	27	33	355	324	10	22	81	50	17	78	131	372	72	748	720	750	343	1350	1946	1379	773	1416	1445	47	735	1	0	0	12	0	1	2	2	6	0	4	0	10	5	0	0	11	0	3	7	16	0	0	14	2	0	12	3	0	2	23	0	1	2
