bin	uniqueBacSCGs	redundantBacSCGs	uniqueArcSCGs	redundantArcSCGs	bacRatio	arcRatio	size	contigs	N50	binScore	SCG_completeness	SCG_redundancy
SGJGI_metabat_2500_1.0.157	51	0	15	0	1	0.394736842105263	3192243	48	105780	1	100	0
SGJGI_metabat_2500_1.0.309	51	0	13	0	1	0.342105263157895	3563517	78	80790	1	100	0
SGJGI_metabat_2500_1.0.127	51	0	14	0	1	0.368421052631579	5757181	384	27378	1	100	0
MaxBin_allsamples_1.7.024	51	0	15	0	1	0.394736842105263	7731720	608	24882	1	100	0
MaxBin_allsamples_1.7.284	51	0	14	2	1	0.368421052631579	3221863	367	11908	1	100	5.26
MaxBin_allsamples_1.7.029	50	0	14	0	0.980392156862745	0.368421052631579	5604133	136	89412	0.9804	98.04	0
MaxBin_allsamples_1.7.269	50	0	15	1	0.980392156862745	0.394736842105263	3475972	94	61865	0.9804	98.04	2.63
SGJGI_metabat_2500_1.0.277	50	0	15	1	0.980392156862745	0.394736842105263	8305246	247	57620	0.9804	98.04	2.63
MaxBin_allsamples_1.7.261	50	0	15	0	0.980392156862745	0.394736842105263	4558963	154	51185	0.9804	98.04	0
MaxBin_allsamples_1.7.018	50	0	14	0	0.980392156862745	0.368421052631579	5832638	403	22747	0.9804	98.04	0
MaxBin_allsamples_1.7.276	50	0	12	0	0.980392156862745	0.315789473684211	4744484	394	16451	0.9804	98.04	0
SGJGI_metabat_2500_1.0.159	50	0	12	0	0.980392156862745	0.315789473684211	4307136	471	11784	0.9804	98.04	0
MaxBin_allsamples_1.7.107	51	1	13	1	1	0.342105263157895	5906555	192	96964	0.9784	100	2.63
SGJGI_metabat_2500_1.0.71	51	1	14	1	1	0.368421052631579	4381058	129	64107	0.9784	100	2.63
SGJGI_metabat_2500_1.0.217	51	1	13	0	1	0.342105263157895	3126031	188	29873	0.9784	100	1.96
MaxBin_allsamples_1.7.055	51	1	13	0	1	0.342105263157895	6663829	576	15894	0.9784	100	1.96
SGJGI_metabat_2500_1.0.325	49	0	12	0	0.96078431372549	0.315789473684211	1675054	63	50511	0.9608	96.08	0
SGJGI_metabat_2500_1.0.195	49	0	13	0	0.96078431372549	0.342105263157895	2910084	125	43866	0.9608	96.08	0
SGJGI_metabat_2500_1.0.115	49	0	12	0	0.96078431372549	0.315789473684211	2306042	172	21765	0.9608	96.08	0
MaxBin_allsamples_1.7.060	50	1	15	2	0.980392156862745	0.394736842105263	4289984	33	351553	0.9586	98.04	5.26
SGJGI_metabat_2500_1.0.284	50	1	14	1	0.980392156862745	0.368421052631579	4415341	250	27498	0.9586	98.04	2.63
SGJGI_metabat_2500_1.0.57	51	2	13	0	1	0.342105263157895	3127869	170	31276	0.9569	100	3.92
MaxBin_allsamples_1.7.172	51	2	13	2	1	0.342105263157895	5277375	729	9077	0.9569	100	5.26
MaxBin_allsamples_1.7.040	51	2	12	3	1	0.315789473684211	5523470	460	21334	0.9471	100	7.89
SGJGI_metabat_2500_1.0.100	48	0	14	0	0.941176470588235	0.368421052631579	3964160	159	52295	0.9412	94.12	0
SGJGI_metabat_2500_1.0.80	48	0	11	0	0.941176470588235	0.289473684210526	1222292	60	30267	0.9412	94.12	0
SGJGI_metabat_2500_1.0.45	49	1	13	0	0.96078431372549	0.342105263157895	1059549	47	50194	0.9387	96.08	1.96
